Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Vivace Therapeutics,https://www.crunchbase.com/funding_round/vivace-therapeutics-series-b--e7b038a2,Vivace Therapeutics,https://www.crunchbase.com/organization/vivace-therapeutics,Series B,25000000,USD,25000000,2017-06-28
Venture Round - NuEyes,https://www.crunchbase.com/funding_round/nueyes-series-unknown--3e6896d0,NuEyes,https://www.crunchbase.com/organization/nueyes,Venture - Series Unknown,,,,2017-06-28
Funding Round - LendUp,https://www.crunchbase.com/funding_round/lendup-undisclosed--5e71c512,LendUp,https://www.crunchbase.com/organization/lendup,Funding Round,,,,2017-06-28
Seed Round - Acquired.io,https://www.crunchbase.com/funding_round/acquired-io-seed--452fef88,Acquired.io,https://www.crunchbase.com/organization/acquired-io,Seed,2000000,USD,2000000,2017-06-28
Series A - SimpleLegal,https://www.crunchbase.com/funding_round/simplelegal-series-a--79a9e405,SimpleLegal,https://www.crunchbase.com/organization/simplelegal,Series A,10000000,USD,10000000,2017-06-29
Convertible Note - Omnity,https://www.crunchbase.com/funding_round/omnity-convertible-note--5b8c538d,Omnity,https://www.crunchbase.com/organization/omnity,Convertible Note,,,,2017-06-29
Venture Round - Clarify Medical,https://www.crunchbase.com/funding_round/clarify-medical-series-unknown--2142799a,Clarify Medical,https://www.crunchbase.com/organization/clarify-medical,Venture - Series Unknown,,,,2017-06-29
Series B - AutoGravity,https://www.crunchbase.com/funding_round/autogravity-series-b--d3b495b5,AutoGravity,https://www.crunchbase.com/organization/autogravity,Series B,30000000,USD,30000000,2017-06-30
Venture Round - Fast Forward,https://www.crunchbase.com/funding_round/fast-forward-3-series-unknown--d50c3638,Fast Forward,https://www.crunchbase.com/organization/fast-forward-3,Venture - Series Unknown,2200000,USD,2200000,2017-06-30
Seed Round - Outline,https://www.crunchbase.com/funding_round/outline-0db5-seed--469eb4be,Outline,https://www.crunchbase.com/organization/outline-0db5,Seed,,,,2017-07-01
"Seed Round - Dilili Labs, Inc.",https://www.crunchbase.com/funding_round/dilili-labs-inc-seed--ad2ec5b7,"Dilili Labs, Inc.",https://www.crunchbase.com/organization/dilili-labs-inc,Seed,,,,2017-07-01
